SRR6960803_NODE_1807_length_4423_cov_17.782280_1	75	1463	1	00	SRR6960803_NODE_1807_length_4423_cov_17.782280	4423	MP_A	205.1
SRR6960803_NODE_1807_length_4423_cov_17.782280_2	1490	1957	1	00	SRR6960803_NODE_1807_length_4423_cov_17.782280	4423	CP_C	219.5
SRR6960803_NODE_1807_length_4423_cov_17.782280_4	2659	4386	1	00	SRR6960803_NODE_1807_length_4423_cov_17.782280	4423	RdRp_A	445.0
SRR6960803_NODE_1952_length_4276_cov_55.650557_2	544	1857	1	00	SRR6960803_NODE_1952_length_4276_cov_55.650557	4276	MP_A	169.0
SRR6960803_NODE_1952_length_4276_cov_55.650557_3	1859	2329	1	00	SRR6960803_NODE_1952_length_4276_cov_55.650557	4276	CP_C	231.2
SRR6960803_NODE_1952_length_4276_cov_55.650557_5	2530	4245	1	00	SRR6960803_NODE_1952_length_4276_cov_55.650557	4276	RdRp_A	430.3
SRR6960803_NODE_1962_length_4267_cov_10.225783_1	88	1866	-1	00	SRR6960803_NODE_1962_length_4267_cov_10.225783	4267	RdRp_A	540.1
SRR6960803_NODE_1962_length_4267_cov_10.225783_2	1912	2364	-1	00	SRR6960803_NODE_1962_length_4267_cov_10.225783	4267	CP_A	127.0
SRR6960803_NODE_1962_length_4267_cov_10.225783_3	2440	3759	-1	00	SRR6960803_NODE_1962_length_4267_cov_10.225783	4267	MP_A	228.2
SRR6960803_NODE_2030_length_4192_cov_6.387721_1	196	1755	1	00	SRR6960803_NODE_2030_length_4192_cov_6.387721	4192	MP_A	286.3
SRR6960803_NODE_2030_length_4192_cov_6.387721_2	1782	2237	1	00	SRR6960803_NODE_2030_length_4192_cov_6.387721	4192	CP_A	138.4
SRR6960803_NODE_2030_length_4192_cov_6.387721_3	2322	4163	1	00	SRR6960803_NODE_2030_length_4192_cov_6.387721	4192	RdRp_A	506.0
